a,b,c,d,pos,vel,acc
0.1,0.1,35938136.638046406,0.1,"(2863.8642454817495, 0.0, 921.6707338040502)","(19527.775236520116, 0.0, 4795.373623541114)","(80857.94269523934, 0.0, 11469.060158322323)"
0.1,0.1,35938136.638046406,1.6681005372000592,"(2863.8643891633587, 0.0, 921.6707897710742)","(19527.77867503604, 0.0, 4795.374743778866)","(80857.96538464204, 0.0, 11469.066253003832)"
0.1,0.1,35938136.638046406,27.825594022071257,"(2863.8667848268447, 0.0, 921.6717229288905)","(19527.836006889407, 0.0, 4795.393421907709)","(80858.34369491138, 0.0, 11469.167872250126)"
0.1,0.1,35938136.638046406,464.1588833612782,"(2863.906447180828, 0.0, 921.6871711657487)","(19528.785198493588, 0.0, 4795.702638022514)","(80864.60706657167, 0.0, 11470.850291544159)"
0.1,0.1,35938136.638046406,7742.636826811277,"(2864.4984034681474, 0.0, 921.9175052072511)","(19542.95489204444, 0.0, 4800.314670214704)","(80958.11739656782, 0.0, 11495.967725169428)"
0.1,0.1,35938136.638046406,129154.96650148854,"(2869.196992037546, 0.0, 923.7298118420322)","(19655.81078118734, 0.0, 4836.932297201924)","(81704.40055838139, 0.0, 11696.270286292614)"
0.1,0.1,35938136.638046406,2154434.6900318866,"(2889.1091023783565, 0.0, 931.2073918082309)","(20144.067364083206, 0.0, 4993.3394066426745)","(84975.14721963728, 0.0, 12560.728834312013)"
0.1,0.1,35938136.638046406,35938136.638046406,"(2962.47574061166, 0.0, 957.9919864171127)","(22087.69709134752, 0.0, 5590.961059776004)","(98659.93604364777, 0.0, 15992.734365917904)"
0.1,0.1,35938136.638046406,599484250.3189421,"(3168.8648535964235, 0.0, 1030.8440395932141)","(28890.730231810387, 0.0, 7538.141357808275)","(154140.9107339309, 0.0, 28554.199292950612)"
0.1,0.1,35938136.638046406,10000000000.0,"(3509.5467142667126, 0.0, 1151.5635923114846)","(45889.65729429103, 0.0, 12116.236461091303)","(336939.45187106816, 0.0, 66011.70250194152)"
0.1,0.1,599484250.3189421,0.1,"(3392.390961878883, 0.0, 1097.7431963165566)","(40000.388165629476, 0.0, 9535.985883388577)","(267336.8234837356, 0.0, 35074.029587978956)"
0.1,0.1,599484250.3189421,1.6681005372000592,"(3392.390967331921, 0.0, 1097.7431986238819)","(40000.38843455063, 0.0, 9535.985968408413)","(267336.8264419546, 0.0, 35074.03035471135)"
0.1,0.1,599484250.3189421,27.825594022071257,"(3392.3910582915696, 0.0, 1097.7432371113032)","(40000.39292030258, 0.0, 9535.987386585854)","(267336.8757866662, 0.0, 35074.04314422868)"
0.1,0.1,599484250.3189421,464.1588833612782,"(3392.3925748942643, 0.0, 1097.7438788178974)","(40000.46771288631, 0.0, 9536.011032393764)","(267337.6985292118, 0.0, 35074.256388921225)"
0.1,0.1,599484250.3189421,7742.636826811277,"(3392.4176821072274, 0.0, 1097.754500049536)","(40001.705908330296, 0.0, 9536.402494656402)","(267351.31911055325, 0.0, 35077.78677417549)"
